record_id,section,subsection,row_type,item_key,label,content,detail,meta,link_url,display_order,source
COURSE-023,timetable,sessions,session,session_05,실습 2,14:00~15:30,"교육 데이터 분석 자동화 및 감정분석, 시각화","세션 목적: 분석 자동화",,230,"DOCUMENT_Design.md §3"
COURSE-024,timetable,sessions,session,session_06,사례공유,15:40~16:30,"2025 성과와 2026 방향, Change Agent 운영","세션 목적: 사례 확산",,240,"DOCUMENT_Design.md §3"
COURSE-025,timetable,sessions,session,session_07,Wrap-up,16:30~17:00,"HRD 담당자의 AI 학습법과 전사 AX 제언","세션 목적: 실행 다짐 정리",,250,"DOCUMENT_Design.md §3"
COURSE-026,session_highlights,lecture,highlight,lecture_summary,강의 핵심내용,"생성형 AI 발달 역사, 최신 모델 동향, 멀티모달·에이전트·Physical AI, HRD 적용 영역 탐색","LLM·Transformer·Attention 핵심 개념 단순화",,,260,"DOCUMENT_Design.md §4"
COURSE-027,session_highlights,practice_1,highlight,practice_1_summary,실습 1 핵심내용,"FAQ 웹페이지와 GPTs 기반 챗봇 중 적합한 운영방식을 판단하고 안내용 마이크로사이트를 제작한다.","GitHub Pages 기반 배포 흐름 포함",,,270,"DOCUMENT_Design.md §5"
COURSE-028,session_highlights,demo_1,highlight,demo_1_summary,시연 1 핵심내용,"액션플랜 데이터를 활용해 개인화된 후속지원 메시지 초안을 자동 생성한다.","LLM API, 프롬프트 설계, HTML 메일 본문화",,,280,"DOCUMENT_Design.md §6"
COURSE-029,session_highlights,practice_2,highlight,practice_2_summary,실습 2 핵심내용,"교육 만족도 데이터의 수집-전처리-분석-시각화까지 자동화 흐름을 설계한다.","KOTE 감성분석, 토픽모델링, HTML 보고서 생성",,,290,"DOCUMENT_Design.md §7"
COURSE-030,session_highlights,case_share,highlight,case_share_summary,사례공유 핵심내용,"2025년 성과와 2026년 방향을 바탕으로 Change Agent 운영 및 확산 전략을 공유한다.","현업 문제 발굴과 AI 적용 실험 중심",,,300,"DOCUMENT_Design.md §8"
COURSE-031,session_highlights,wrap_up,highlight,wrap_up_summary,Wrap-up 핵심내용,"HRD 담당자의 AI 학습방법과 전사 AX 추진을 위한 실천 제언을 정리한다.","학습 루틴, 보안·저작권 검토 습관화",,,310,"DOCUMENT_Design.md §9"
COURSE-032,participant_guide,prework,prework,prework_1,사전과제 1,"사전 안내 메일에 포함된 과정 소개 페이지 확인",,,320,"original course_info.csv"
COURSE-033,participant_guide,prework,prework,prework_2,사전과제 2,"본인이 담당 중인 교육과정 1개와 반복업무 1개 메모",,,330,"original course_info.csv"
COURSE-034,participant_guide,materials,prep,prep_item_1,준비물 1,"노트북 지참","1-2일차 모두 노트북 실습 포함",,,340,"user update 2026-04-14"
COURSE-035,participant_guide,materials,prep,prep_item_2,준비물 2,"AI tool 설치","실습에 필요한 AI tool 설치 후 참석",,,350,"user update 2026-04-14"
COURSE-036,participant_guide,materials,prep,prep_item_3,준비물 3,"신청자 대상 사전 안내 예정","실습에 필요한 AI tool 설치와 사전 준비사항을 별도 안내 예정",,,360,"user update 2026-04-14"
COURSE-036A,participant_guide,materials,notice,day2_required_notice,교육 2일차 필수 준비사항,"노트북 지참 및 AI tool 설치","1-2일차 모두 노트북 실습이 포함되어 있어, 신청자분들께는 실습에 필요한 AI tool 설치와 사전 준비사항을 안내드릴 예정입니다.",,,365,"user update 2026-04-14"
COURSE-037,website_requirements,ux,requirement,page_purpose,웹페이지 목적,"교육 참가자가 일정, 장소, 준비물, FAQ, 문의처를 빠르게 확인할 수 있게 하기","교육 운영용 마이크로사이트 기준",,,370,"DOCUMENT_Design.md §5-3, §5-5"
COURSE-038,website_requirements,ux,requirement,mobile_first,모바일 우선 설계,"모바일에서 먼저 읽히도록 설계하기","현장 이동 중 확인 가능한 UX 우선",,,380,"DOCUMENT_Design.md §5-5"
COURSE-039,website_requirements,ux,requirement,tone_and_manner,톤앤매너,"제조업 대기업의 신뢰감 있는 톤","과도한 애니메이션 금지 / 가독성 우선 / HTML,CSS,JavaScript 분리",,,390,"DOCUMENT_Design.md §5-5"
COURSE-040,website_requirements,required_sections,requirement,required_section_1,필수 섹션,"과정 개요",,,400,"DOCUMENT_Design.md §5-3"
COURSE-041,website_requirements,required_sections,requirement,required_section_2,필수 섹션,"일정/장소",,,410,"DOCUMENT_Design.md §5-3"
COURSE-042,website_requirements,required_sections,requirement,required_section_3,필수 섹션,"준비물 및 사전과제",,,420,"DOCUMENT_Design.md §5-3"
COURSE-043,website_requirements,required_sections,requirement,required_section_4,필수 섹션,FAQ,,,430,"DOCUMENT_Design.md §5-3"
COURSE-044,website_requirements,required_sections,requirement,required_section_5,필수 섹션,문의처,,,440,"DOCUMENT_Design.md §5-3"
COURSE-045,website_requirements,required_sections,requirement,required_section_6,필수 섹션,"자료 다운로드 또는 링크",,,450,"DOCUMENT_Design.md §5-3"
COURSE-046,website_requirements,required_sections,requirement,required_section_7,필수 섹션,"모바일 접속용 QR 코드",,,460,"DOCUMENT_Design.md §5-3"
COURSE-048,contact,inquiry,contact,contact_registration,교육과정 문의,"김지수·유지원 대리",02-2268-2501,"한국인사관리협회 등록내용 기준",,480,"original course_info.csv appended registration block"
COURSE-048,contact,inquiry,contact,contact_registration,교육과정 문의,"김지수·유지원 대리",jskim@insabank.com,"한국인사관리협회 등록내용 기준",,480,"original course_info.csv appended registration block"
COURSE-051,registration,pricing,price,price_nonmember_single,비회원사 1사 1인,"660,000원","부가세, 교재대 및 중식대 포함",,,510,"original course_info.csv appended registration block"
COURSE-052,registration,pricing,price,price_nonmember_duo,비회원사 1사 2인,"605,000원 (1인 기준)","부가세, 교재대 및 중식대 포함",,,520,"original course_info.csv appended registration block"
COURSE-053,registration,pricing,price,price_member_single,회원사 1사 1인,"605,000원","부가세, 교재대 및 중식대 포함",,,530,"original course_info.csv appended registration block"
COURSE-054,registration,pricing,price,price_member_duo,회원사 1사 2인,"550,000원 (1인 기준)","부가세, 교재대 및 중식대 포함",,,540,"original course_info.csv appended registration block"
COURSE-055,faq,participant_faq,faq,faq_01,FAQ 1,"교육은 몇 시부터 몇 시까지 진행되나요?","교육은 2026년 4월 17일 10:00부터 17:00까지 진행됩니다. 점심시간은 12:20~13:20입니다.",,,550,"sample_data/course_faq.csv"
COURSE-056,faq,participant_faq,faq,faq_02,FAQ 2,"교육 장소는 어디인가요?","현대제철 당진제철소 교육장 3층 러닝랩에서 진행됩니다. 현장 안내 표지와 QR 페이지를 함께 확인해 주세요.",,,560,"sample_data/course_faq.csv"
COURSE-057,faq,participant_faq,faq,faq_03,FAQ 3,"반드시 가져와야 할 준비물이 있나요?","노트북, 충전기, 사내 또는 실습용 GitHub 계정 정보가 필요합니다. 모바일만으로는 실습이 어렵습니다.",,,570,"sample_data/course_faq.csv"
COURSE-058,faq,participant_faq,faq,faq_04,FAQ 4,"사전과제가 있나요?","담당 중인 교육과정 1개와 반복업무 1개를 간단히 메모해 오시면 실습에 바로 활용할 수 있습니다.",,,580,"sample_data/course_faq.csv"
COURSE-059,faq,participant_faq,faq,faq_05,FAQ 5,"회사 PC에서 외부 AI 서비스를 못 쓰면 어떻게 하나요?","실습은 샘플 데이터 중심으로 진행하며, 외부 서비스 사용 범위는 현장 가이드와 보안정책에 맞춰 안내합니다.",,,590,"sample_data/course_faq.csv"
COURSE-060,faq,participant_faq,faq,faq_06,FAQ 6,"교육 자료는 어디서 받나요?","마이크로사이트의 자료 다운로드 버튼 또는 현장 QR 코드를 통해 배포 예정입니다.",,,600,"sample_data/course_faq.csv"
COURSE-061,faq,participant_faq,faq,faq_07,FAQ 7,"교육 문의는 어디로 하면 되나요?","컬처디자인팀 박서윤 매니저(hrd.ai.demo@hyundai-steel.example.com, 041-680-1258)에게 문의해 주세요.",,,610,"sample_data/course_faq.csv"
COURSE-062,faq,participant_faq,faq,faq_08,FAQ 8,"실습 결과물은 바로 업무에 써도 되나요?","사내 자료는 비식별화 또는 샘플 데이터로 전환 후 사용하고, 외부 배포 전에는 반드시 담당자가 최종 검수해야 합니다.",,,620,"sample_data/course_faq.csv"
COURSE-063,nearby_restaurants,list,place,restaurant_01,인근식당,밥플러스 (6호점),"한식 뷔페 (구내식당)","2층 202호",https://www.babplus.net/,630,"밥플러스 공식 홈페이지"
COURSE-064,nearby_restaurants,list,place,restaurant_02,인근식당,풀리김밥 성수점,"김밥, 분식","상가동 1층 112호",https://popga.co.kr/popga-pass/3471,640,"Popga Pass 풀리김밥 성수점"
COURSE-065,nearby_restaurants,list,place,restaurant_03,인근식당,미분당 성수점,베트남 쌀국수,1층 111호,https://www.tabling.co.kr/place/677cd62c66de5f0698908366,650,"테이블링 미분당 성수점"
COURSE-066,nearby_restaurants,list,place,restaurant_04,인근식당,일상화식 성수점,"카이센동, 덮밥, 일식","상가동 1층 108호",https://www.tabling.co.kr/place/677cd63866de5f0698909906,660,"테이블링 일상화식 성수점"
COURSE-067,nearby_restaurants,list,place,restaurant_05,인근식당,찐미숯불구이,"고기구이, 점심 한식 뷔페","상가동 1층 105호",https://triple.guide/restaurants/30559d0b-3eb5-4bd2-a106-253b5bf1305a,670,"트리플 찐미숯불구이"
COURSE-068,nearby_restaurants,list,place,restaurant_06,인근식당,에버스시 성수점,"초밥, 롤, 사시미","2층 201호",https://www.114.co.kr/search/detail?comp_id=361899&comp_tp_cd=INT&upjong_cd=851302,680,"114On 에버스시 성수점"
COURSE-069,nearby_restaurants,list,place,restaurant_07,인근식당,천미향,"중식 (짜장면, 짬뽕 등)","하우스디 세종타워 내",https://www.tabling.co.kr/place/677cd31766de5f06988aed8d,690,"테이블링 천미향"
